gen_coord canon_pos region
99780067 193 exon
99780066 194 exon
99780065 195 exon
99780064 196 exon
99780063 197 exon
99780062 198 exon
99780061 199 exon
99780060 200 exon
99780059 201 exon
99780058 202 exon
99780057 203 exon
99780056 204 exon
99780055 205 exon
99780054 206 exon
99780053 207 exon
99780052 208 exon
99780051 209 exon
99780050 210 exon
99780049 211 exon
99780048 212 exon
99780047 213 exon
99780046 214 exon
99780045 215 exon
99780044 216 exon
99780043 217 exon
99780042 218 exon
99780041 219 exon
99780040 220 exon
99780039 221 exon
99780038 222 exon
99780037 223 exon
99780036 224 exon
99780035 225 exon
99780034 226 exon
99780033 227 exon
99780032 228 exon
99780031 229 exon
99780030 230 exon
99780029 231 exon
99780028 232 exon
99780027 233 exon
99780026 234 exon
99780025 235 exon
99780024 236 exon
99780023 237 exon
99780022 238 exon
99780021 239 exon
99780020 240 exon
99780019 241 exon
99780018 242 exon
99780017 243 exon
99780016 244 exon
99780015 245 exon
99780014 246 exon
99780013 247 exon
99780012 248 exon
99780011 249 exon
99780010 250 exon
99780009 251 exon
99780008 252 exon
99780007 253 exon
99780006 254 exon
99780005 255 exon
99780004 256 exon
99780003 257 exon
99780002 258 exon
99780001 259 exon
99780000 260 exon
99779999 261 exon
99779998 262 exon
99779997 263 exon
99779996 264 exon
99779995 265 exon
99779994 266 exon
99779993 267 exon
99779992 268 exon
99778080 269 exon
99778079 270 exon
99778078 271 exon
99778077 272 exon
99778076 273 exon
99778075 274 exon
99778074 275 exon
99778073 276 exon
99778072 277 exon
99778071 278 exon
99778070 279 exon
99778069 280 exon
99778068 281 exon
99778067 282 exon
99778066 283 exon
99778065 284 exon
99778064 285 exon
99778063 286 exon
99778062 287 exon
99778061 288 exon
99778060 289 exon
99778059 290 exon
99778058 291 exon
99778057 292 exon
99778056 293 exon
99778055 294 exon
99778054 295 exon
99778053 296 exon
99778052 297 exon
99778051 298 exon
99778050 299 exon
99778049 300 exon
99778048 301 exon
99778047 302 exon
99778046 303 exon
99778045 304 exon
99778044 305 exon
99778043 306 exon
99778042 307 exon
99778041 308 exon
99778040 309 exon
99778039 310 exon
99778038 311 exon
99778037 312 exon
99778036 313 exon
99778035 314 exon
99778034 315 exon
99778033 316 exon
99778032 317 exon
99778031 318 exon
99778030 319 exon
99778029 320 exon
99778028 321 exon
99772689 322 exon
99772688 323 exon
99772687 324 exon
99772686 325 exon
99772685 326 exon
99772684 327 exon
99772683 328 exon
99772682 329 exon
99772681 330 exon
99772680 331 exon
99772679 332 exon
99772678 333 exon
99772677 334 exon
99772676 335 exon
99772675 336 exon
99772674 337 exon
99772673 338 exon
99772672 339 exon
99772671 340 exon
99772670 341 exon
99772669 342 exon
99772668 343 exon
99772667 344 exon
99772666 345 exon
99772665 346 exon
99772664 347 exon
99772663 348 exon
99772662 349 exon
99772661 350 exon
99772660 351 exon
99772659 352 exon
99772658 353 exon
99772657 354 exon
99772656 355 exon
99772655 356 exon
99772654 357 exon
99772653 358 exon
99772652 359 exon
99772651 360 exon
99772650 361 exon
99772649 362 exon
99772648 363 exon
99772647 364 exon
99772646 365 exon
99772645 366 exon
99772644 367 exon
99772643 368 exon
99772642 369 exon
99772641 370 exon
99772640 371 exon
99772639 372 exon
99772638 373 exon
99772637 374 exon
99772636 375 exon
99772635 376 exon
99772634 377 exon
99772633 378 exon
99772632 379 exon
99772631 380 exon
99772630 381 exon
99772629 382 exon
99772628 383 exon
99772627 384 exon
99772626 385 exon
99772625 386 exon
99772624 387 exon
99772623 388 exon
99772622 389 exon
99772621 390 exon
99772620 391 exon
99772619 392 exon
99772618 393 exon
99772617 394 exon
99772616 395 exon
99772615 396 exon
99772614 397 exon
99772613 398 exon
99772612 399 exon
99772611 400 exon
99772610 401 exon
99772609 402 exon
99772608 403 exon
99772607 404 exon
99772606 405 exon
99772605 406 exon
99772604 407 exon
99772603 408 exon
99772602 409 exon
99772601 410 exon
99772600 411 exon
99772599 412 exon
99772598 413 exon
99772597 414 exon
99772596 415 exon
99772595 416 exon
99772594 417 exon
99772593 418 exon
99772592 419 exon
99772591 420 exon
99772590 421 exon
99770235 422 exon
99770234 423 exon
99770233 424 exon
99770232 425 exon
99770231 426 exon
99770230 427 exon
99770229 428 exon
99770228 429 exon
99770227 430 exon
99770226 431 exon
99770225 432 exon
99770224 433 exon
99770223 434 exon
99770222 435 exon
99770221 436 exon
99770220 437 exon
99770219 438 exon
99770218 439 exon
99770217 440 exon
99770216 441 exon
99770215 442 exon
99770214 443 exon
99770213 444 exon
99770212 445 exon
99770211 446 exon
99770210 447 exon
99770209 448 exon
99770208 449 exon
99770207 450 exon
99770206 451 exon
99770205 452 exon
99770204 453 exon
99770203 454 exon
99770202 455 exon
99770201 456 exon
99770200 457 exon
99770199 458 exon
99770198 459 exon
99770197 460 exon
99770196 461 exon
99770195 462 exon
99770194 463 exon
99770193 464 exon
99770192 465 exon
99770191 466 exon
99770190 467 exon
99770189 468 exon
99770188 469 exon
99770187 470 exon
99770186 471 exon
99770185 472 exon
99770184 473 exon
99770183 474 exon
99770182 475 exon
99770181 476 exon
99770180 477 exon
99770179 478 exon
99770178 479 exon
99770177 480 exon
99770176 481 exon
99770175 482 exon
99770174 483 exon
99770173 484 exon
99770172 485 exon
99770171 486 exon
99770170 487 exon
99770169 488 exon
99770168 489 exon
99770167 490 exon
99770166 491 exon
99770165 492 exon
99770164 493 exon
99770163 494 exon
99770162 495 exon
99770161 496 exon
99770160 497 exon
99770159 498 exon
99770158 499 exon
99770157 500 exon
99770156 501 exon
99770155 502 exon
99770154 503 exon
99770153 504 exon
99770152 505 exon
99770151 506 exon
99770150 507 exon
99770149 508 exon
99770148 509 exon
99770147 510 exon
99770146 511 exon
99770145 512 exon
99770144 513 exon
99770143 514 exon
99770142 515 exon
99770141 516 exon
99770140 517 exon
99770139 518 exon
99770138 519 exon
99770137 520 exon
99770136 521 exon
99770135 522 exon
99770134 523 exon
99770133 524 exon
99770132 525 exon
99770131 526 exon
99770130 527 exon
99770129 528 exon
99770128 529 exon
99770127 530 exon
99770126 531 exon
99770125 532 exon
99770124 533 exon
99770123 534 exon
99770122 535 exon
99769856 536 exon
99769855 537 exon
99769854 538 exon
99769853 539 exon
99769852 540 exon
99769851 541 exon
99769850 542 exon
99769849 543 exon
99769848 544 exon
99769847 545 exon
99769846 546 exon
99769845 547 exon
99769844 548 exon
99769843 549 exon
99769842 550 exon
99769841 551 exon
99769840 552 exon
99769839 553 exon
99769838 554 exon
99769837 555 exon
99769836 556 exon
99769835 557 exon
99769834 558 exon
99769833 559 exon
99769832 560 exon
99769831 561 exon
99769830 562 exon
99769829 563 exon
99769828 564 exon
99769827 565 exon
99769826 566 exon
99769825 567 exon
99769824 568 exon
99769823 569 exon
99769822 570 exon
99769821 571 exon
99769820 572 exon
99769819 573 exon
99769818 574 exon
99769817 575 exon
99769816 576 exon
99769815 577 exon
99769814 578 exon
99769813 579 exon
99769812 580 exon
99769811 581 exon
99769810 582 exon
99769809 583 exon
99769808 584 exon
99769807 585 exon
99769806 586 exon
99769805 587 exon
99769804 588 exon
99769803 589 exon
99769802 590 exon
99769801 591 exon
99769800 592 exon
99769799 593 exon
99769798 594 exon
99769797 595 exon
99769796 596 exon
99769795 597 exon
99769794 598 exon
99769793 599 exon
99769792 600 exon
99769791 601 exon
99769790 602 exon
99769789 603 exon
99769788 604 exon
99769787 605 exon
99769786 606 exon
99769785 607 exon
99769784 608 exon
99769783 609 exon
99769782 610 exon
99769781 611 exon
99769780 612 exon
99769779 613 exon
99769778 614 exon
99769777 615 exon
99769776 616 exon
99769775 617 exon
99769774 618 exon
99769773 619 exon
99769772 620 exon
99769771 621 exon
99769770 622 exon
99769769 623 exon
99769768 624 exon
99768502 625 exon
99768501 626 exon
99768500 627 exon
99768499 628 exon
99768498 629 exon
99768497 630 exon
99768496 631 exon
99768495 632 exon
99768494 633 exon
99768493 634 exon
99768492 635 exon
99768491 636 exon
99768490 637 exon
99768489 638 exon
99768488 639 exon
99768487 640 exon
99768486 641 exon
99768485 642 exon
99768484 643 exon
99768483 644 exon
99768482 645 exon
99768481 646 exon
99768480 647 exon
99768479 648 exon
99768478 649 exon
99768477 650 exon
99768476 651 exon
99768475 652 exon
99768474 653 exon
99768473 654 exon
99768472 655 exon
99768471 656 exon
99768470 657 exon
99768469 658 exon
99768468 659 exon
99768467 660 exon
99768466 661 exon
99768465 662 exon
99768464 663 exon
99768463 664 exon
99768462 665 exon
99768461 666 exon
99768460 667 exon
99768459 668 exon
99768458 669 exon
99768457 670 exon
99768456 671 exon
99768455 672 exon
99768454 673 exon
99768453 674 exon
99768452 675 exon
99768451 676 exon
99768450 677 exon
99768449 678 exon
99768448 679 exon
99768447 680 exon
99768446 681 exon
99768445 682 exon
99768444 683 exon
99768443 684 exon
99768442 685 exon
99768441 686 exon
99768440 687 exon
99768439 688 exon
99768438 689 exon
99768437 690 exon
99768436 691 exon
99768435 692 exon
99768434 693 exon
99768433 694 exon
99768432 695 exon
99768431 696 exon
99768430 697 exon
99768429 698 exon
99768428 699 exon
99768427 700 exon
99768426 701 exon
99768425 702 exon
99768424 703 exon
99768423 704 exon
99768422 705 exon
99768421 706 exon
99768420 707 exon
99768419 708 exon
99768418 709 exon
99768417 710 exon
99768416 711 exon
99768415 712 exon
99768414 713 exon
99768413 714 exon
99768412 715 exon
99768411 716 exon
99768410 717 exon
99768409 718 exon
99768408 719 exon
99768407 720 exon
99768406 721 exon
99768405 722 exon
99768404 723 exon
99768403 724 exon
99768402 725 exon
99768401 726 exon
99768400 727 exon
99768399 728 exon
99768398 729 exon
99768397 730 exon
99768396 731 exon
99768395 732 exon
99768394 733 exon
99768393 734 exon
99768392 735 exon
99768391 736 exon
99768390 737 exon
99768389 738 exon
99768388 739 exon
99768387 740 exon
99768386 741 exon
99768385 742 exon
99768384 743 exon
99768383 744 exon
99768382 745 exon
99768381 746 exon
99768380 747 exon
99768379 748 exon
99768378 749 exon
99768377 750 exon
99768376 751 exon
99768375 752 exon
99768374 753 exon
99768373 754 exon
99768372 755 exon
99768371 756 exon
99768370 757 exon
99768369 758 exon
99768368 759 exon
99768367 760 exon
99768366 761 exon
99768365 762 exon
99768364 763 exon
99768363 764 exon
99768362 765 exon
99768361 766 exon
99768360 767 exon
99768359 768 exon
99768358 769 exon
99768357 770 exon
99768356 771 exon
99768355 772 exon
99768354 773 exon
99767258 774 exon
99767257 775 exon
99767256 776 exon
99767255 777 exon
99767254 778 exon
99767253 779 exon
99767252 780 exon
99767251 781 exon
99767250 782 exon
99767249 783 exon
99767248 784 exon
99767247 785 exon
99767246 786 exon
99767245 787 exon
99767244 788 exon
99767243 789 exon
99767242 790 exon
99767241 791 exon
99767240 792 exon
99767239 793 exon
99767238 794 exon
99767237 795 exon
99767236 796 exon
99767235 797 exon
99767234 798 exon
99767233 799 exon
99767232 800 exon
99767231 801 exon
99767230 802 exon
99767229 803 exon
99767228 804 exon
99767227 805 exon
99767226 806 exon
99767225 807 exon
99767224 808 exon
99767223 809 exon
99767222 810 exon
99767221 811 exon
99767220 812 exon
99767219 813 exon
99767218 814 exon
99767217 815 exon
99767216 816 exon
99767215 817 exon
99767214 818 exon
99767213 819 exon
99767212 820 exon
99767211 821 exon
99767210 822 exon
99767209 823 exon
99767208 824 exon
99767207 825 exon
99767206 826 exon
99767205 827 exon
99767204 828 exon
99767203 829 exon
99767202 830 exon
99767201 831 exon
99767200 832 exon
99767199 833 exon
99767198 834 exon
99767197 835 exon
99767196 836 exon
99767195 837 exon
99767194 838 exon
99767193 839 exon
99767192 840 exon
99767191 841 exon
99767190 842 exon
99767189 843 exon
99767188 844 exon
99767187 845 exon
99767186 846 exon
99767185 847 exon
99767184 848 exon
99767183 849 exon
99767182 850 exon
99767181 851 exon
99767180 852 exon
99767179 853 exon
99767178 854 exon
99767177 855 exon
99767176 856 exon
99767175 857 exon
99767174 858 exon
99767173 859 exon
99767172 860 exon
99767171 861 exon
99767170 862 exon
99767169 863 exon
99767168 864 exon
99767167 865 exon
99767166 866 exon
99767165 867 exon
99767164 868 exon
99767163 869 exon
99767162 870 exon
99767161 871 exon
99767160 872 exon
99767159 873 exon
99767158 874 exon
99767157 875 exon
99767156 876 exon
99767155 877 exon
99767154 878 exon
99767153 879 exon
99767152 880 exon
99767151 881 exon
99767150 882 exon
99767149 883 exon
99767148 884 exon
99767147 885 exon
99767146 886 exon
99767145 887 exon
99767144 888 exon
99767143 889 exon
99767142 890 exon
99767141 891 exon
99767140 892 exon
99767139 893 exon
99767138 894 exon
99767137 895 exon
99767136 896 exon
99767135 897 exon
99767134 898 exon
99767133 899 exon
99767132 900 exon
99767131 901 exon
99766443 902 exon
99766442 903 exon
99766441 904 exon
99766440 905 exon
99766439 906 exon
99766438 907 exon
99766437 908 exon
99766436 909 exon
99766435 910 exon
99766434 911 exon
99766433 912 exon
99766432 913 exon
99766431 914 exon
99766430 915 exon
99766429 916 exon
99766428 917 exon
99766427 918 exon
99766426 919 exon
99766425 920 exon
99766424 921 exon
99766423 922 exon
99766422 923 exon
99766421 924 exon
99766420 925 exon
99766419 926 exon
99766418 927 exon
99766417 928 exon
99766416 929 exon
99766415 930 exon
99766414 931 exon
99766413 932 exon
99766412 933 exon
99766411 934 exon
99766410 935 exon
99766409 936 exon
99766408 937 exon
99766407 938 exon
99766406 939 exon
99766405 940 exon
99766404 941 exon
99766403 942 exon
99766402 943 exon
99766401 944 exon
99766400 945 exon
99766399 946 exon
99766398 947 exon
99766397 948 exon
99766396 949 exon
99766395 950 exon
99766394 951 exon
99766393 952 exon
99766392 953 exon
99766391 954 exon
99766390 955 exon
99766389 956 exon
99766388 957 exon
99766387 958 exon
99766386 959 exon
99766385 960 exon
99766384 961 exon
99766383 962 exon
99766382 963 exon
99766381 964 exon
99766380 965 exon
99766379 966 exon
99766378 967 exon
99766377 968 exon
99764015 969 exon
99764014 970 exon
99764013 971 exon
99764012 972 exon
99764011 973 exon
99764010 974 exon
99764009 975 exon
99764008 976 exon
99764007 977 exon
99764006 978 exon
99764005 979 exon
99764004 980 exon
99764003 981 exon
99764002 982 exon
99764001 983 exon
99764000 984 exon
99763999 985 exon
99763998 986 exon
99763997 987 exon
99763996 988 exon
99763995 989 exon
99763994 990 exon
99763993 991 exon
99763992 992 exon
99763991 993 exon
99763990 994 exon
99763989 995 exon
99763988 996 exon
99763987 997 exon
99763986 998 exon
99763985 999 exon
99763984 1000 exon
99763983 1001 exon
99763982 1002 exon
99763981 1003 exon
99763980 1004 exon
99763979 1005 exon
99763978 1006 exon
99763977 1007 exon
99763976 1008 exon
99763975 1009 exon
99763974 1010 exon
99763973 1011 exon
99763972 1012 exon
99763971 1013 exon
99763970 1014 exon
99763969 1015 exon
99763968 1016 exon
99763967 1017 exon
99763966 1018 exon
99763965 1019 exon
99763964 1020 exon
99763963 1021 exon
99763962 1022 exon
99763961 1023 exon
99763960 1024 exon
99763959 1025 exon
99763958 1026 exon
99763957 1027 exon
99763956 1028 exon
99763955 1029 exon
99763954 1030 exon
99763953 1031 exon
99763952 1032 exon
99763951 1033 exon
99763950 1034 exon
99763949 1035 exon
99763948 1036 exon
99763947 1037 exon
99763946 1038 exon
99763945 1039 exon
99763944 1040 exon
99763943 1041 exon
99763942 1042 exon
99763941 1043 exon
99763940 1044 exon
99763939 1045 exon
99763938 1046 exon
99763937 1047 exon
99763936 1048 exon
99763935 1049 exon
99763934 1050 exon
99763933 1051 exon
99763932 1052 exon
99763931 1053 exon
99763930 1054 exon
99763929 1055 exon
99763928 1056 exon
99763927 1057 exon
99763926 1058 exon
99763925 1059 exon
99763924 1060 exon
99763923 1061 exon
99763922 1062 exon
99763921 1063 exon
99763920 1064 exon
99763919 1065 exon
99763918 1066 exon
99763917 1067 exon
99763916 1068 exon
99763915 1069 exon
99763914 1070 exon
99763913 1071 exon
99763912 1072 exon
99763911 1073 exon
99763910 1074 exon
99763909 1075 exon
99763908 1076 exon
99763907 1077 exon
99763906 1078 exon
99763905 1079 exon
99763904 1080 exon
99763903 1081 exon
99763902 1082 exon
99763901 1083 exon
99763900 1084 exon
99763899 1085 exon
99763898 1086 exon
99763897 1087 exon
99763896 1088 exon
99763895 1089 exon
99763894 1090 exon
99763893 1091 exon
99763892 1092 exon
99763891 1093 exon
99763890 1094 exon
99763889 1095 exon
99763888 1096 exon
99763887 1097 exon
99763886 1098 exon
99763885 1099 exon
99763884 1100 exon
99763883 1101 exon
99763882 1102 exon
99763881 1103 exon
99763880 1104 exon
99763879 1105 exon
99763878 1106 exon
99763877 1107 exon
99763876 1108 exon
99763875 1109 exon
99763874 1110 exon
99763873 1111 exon
99763872 1112 exon
99763871 1113 exon
99763870 1114 exon
99763869 1115 exon
99763868 1116 exon
99763867 1117 exon
99763866 1118 exon
99763865 1119 exon
99763864 1120 exon
99763863 1121 exon
99763862 1122 exon
99763861 1123 exon
99763860 1124 exon
99763859 1125 exon
99763858 1126 exon
99763857 1127 exon
99763856 1128 exon
99763855 1129 exon
99762267 1130 exon
99762266 1131 exon
99762265 1132 exon
99762264 1133 exon
99762263 1134 exon
99762262 1135 exon
99762261 1136 exon
99762260 1137 exon
99762259 1138 exon
99762258 1139 exon
99762257 1140 exon
99762256 1141 exon
99762255 1142 exon
99762254 1143 exon
99762253 1144 exon
99762252 1145 exon
99762251 1146 exon
99762250 1147 exon
99762249 1148 exon
99762248 1149 exon
99762247 1150 exon
99762246 1151 exon
99762245 1152 exon
99762244 1153 exon
99762243 1154 exon
99762242 1155 exon
99762241 1156 exon
99762240 1157 exon
99762239 1158 exon
99762238 1159 exon
99762237 1160 exon
99762236 1161 exon
99762235 1162 exon
99762234 1163 exon
99762233 1164 exon
99762232 1165 exon
99762231 1166 exon
99762230 1167 exon
99762229 1168 exon
99762228 1169 exon
99762227 1170 exon
99762226 1171 exon
99762225 1172 exon
99762224 1173 exon
99762223 1174 exon
99762222 1175 exon
99762221 1176 exon
99762220 1177 exon
99762219 1178 exon
99762218 1179 exon
99762217 1180 exon
99762216 1181 exon
99762215 1182 exon
99762214 1183 exon
99762213 1184 exon
99762212 1185 exon
99762211 1186 exon
99762210 1187 exon
99762209 1188 exon
99762208 1189 exon
99762207 1190 exon
99762206 1191 exon
99762205 1192 exon
99762204 1193 exon
99762203 1194 exon
99762202 1195 exon
99762201 1196 exon
99762200 1197 exon
99762199 1198 exon
99762198 1199 exon
99762197 1200 exon
99762196 1201 exon
99762195 1202 exon
99762194 1203 exon
99762193 1204 exon
99762192 1205 exon
99762191 1206 exon
99762190 1207 exon
99762189 1208 exon
99762188 1209 exon
99762187 1210 exon
99762186 1211 exon
99762185 1212 exon
99762184 1213 exon
99762183 1214 exon
99762182 1215 exon
99762181 1216 exon
99762180 1217 exon
99762179 1218 exon
99762178 1219 exon
99762177 1220 exon
99762176 1221 exon
99762175 1222 exon
99762174 1223 exon
99762173 1224 exon
99762172 1225 exon
99762171 1226 exon
99762170 1227 exon
99762169 1228 exon
99762168 1229 exon
99762167 1230 exon
99762166 1231 exon
99762165 1232 exon
99762164 1233 exon
99762163 1234 exon
99762162 1235 exon
99762161 1236 exon
99762160 1237 exon
99762159 1238 exon
99762158 1239 exon
99762157 1240 exon
99762156 1241 exon
99762155 1242 exon
99762154 1243 exon
99762153 1244 exon
99762152 1245 exon
99762151 1246 exon
99762150 1247 exon
99762149 1248 exon
99762148 1249 exon
99762147 1250 exon
99762146 1251 exon
99762145 1252 exon
99762144 1253 exon
99762143 1254 exon
99762142 1255 exon
99762141 1256 exon
99762140 1257 exon
99762139 1258 exon
99762138 1259 exon
99762137 1260 exon
99762136 1261 exon
99762135 1262 exon
99762134 1263 exon
99762133 1264 exon
99762132 1265 exon
99762131 1266 exon
99762130 1267 exon
99762129 1268 exon
99762128 1269 exon
99762127 1270 exon
99762126 1271 exon
99762125 1272 exon
99762124 1273 exon
99762123 1274 exon
99762122 1275 exon
99762121 1276 exon
99762120 1277 exon
99762119 1278 exon
99762118 1279 exon
99762117 1280 exon
99762116 1281 exon
99762115 1282 exon
99762114 1283 exon
99762113 1284 exon
99762112 1285 exon
99762111 1286 exon
99762110 1287 exon
99762109 1288 exon
99762108 1289 exon
99762107 1290 exon
99762106 1291 exon
99762105 1292 exon
99762104 1293 exon
99762103 1294 exon
99762102 1295 exon
99762101 1296 exon
99762100 1297 exon
99762099 1298 exon
99762098 1299 exon
99762097 1300 exon
99762096 1301 exon
99762095 1302 exon
99762094 1303 exon
99762093 1304 exon
99762092 1305 exon
99762091 1306 exon
99762090 1307 exon
99762089 1308 exon
99762088 1309 exon
99762087 1310 exon
99762086 1311 exon
99762085 1312 exon
99762084 1313 exon
99762083 1314 exon
99762082 1315 exon
99762081 1316 exon
99762080 1317 exon
99762079 1318 exon
99762078 1319 exon
99762077 1320 exon
99762076 1321 exon
99762075 1322 exon
99762074 1323 exon
99762073 1324 exon
99762072 1325 exon
99762071 1326 exon
99762070 1327 exon
99762069 1328 exon
99762068 1329 exon
99762067 1330 exon
99762066 1331 exon
99762065 1332 exon
99762064 1333 exon
99762063 1334 exon
99762062 1335 exon
99762061 1336 exon
99762060 1337 exon
99762059 1338 exon
99762058 1339 exon
99762057 1340 exon
99762056 1341 exon
99762055 1342 exon
99762054 1343 exon
99762053 1344 exon
99762052 1345 exon
99762051 1346 exon
99762050 1347 exon
99762049 1348 exon
99762048 1349 exon
99762047 1350 exon
99762046 1351 exon
99762045 1352 exon
99762044 1353 exon
99762043 1354 exon
99762042 1355 exon
99762041 1356 exon
99760981 1357 exon
99760980 1358 exon
99760979 1359 exon
99760978 1360 exon
99760977 1361 exon
99760976 1362 exon
99760975 1363 exon
99760974 1364 exon
99760973 1365 exon
99760972 1366 exon
99760971 1367 exon
99760970 1368 exon
99760969 1369 exon
99760968 1370 exon
99760967 1371 exon
99760966 1372 exon
99760965 1373 exon
99760964 1374 exon
99760963 1375 exon
99760962 1376 exon
99760961 1377 exon
99760960 1378 exon
99760959 1379 exon
99760958 1380 exon
99760957 1381 exon
99760956 1382 exon
99760955 1383 exon
99760954 1384 exon
99760953 1385 exon
99760952 1386 exon
99760951 1387 exon
99760950 1388 exon
99760949 1389 exon
99760948 1390 exon
99760947 1391 exon
99760946 1392 exon
99760945 1393 exon
99760944 1394 exon
99760943 1395 exon
99760942 1396 exon
99760941 1397 exon
99760940 1398 exon
99760939 1399 exon
99760938 1400 exon
99760937 1401 exon
99760936 1402 exon
99760935 1403 exon
99760934 1404 exon
99760933 1405 exon
99760932 1406 exon
99760931 1407 exon
99760930 1408 exon
99760929 1409 exon
99760928 1410 exon
99760927 1411 exon
99760926 1412 exon
99760925 1413 exon
99760924 1414 exon
99760923 1415 exon
99760922 1416 exon
99760921 1417 exon
99760920 1418 exon
99760919 1419 exon
99760918 1420 exon
99760917 1421 exon
99760916 1422 exon
99760915 1423 exon
99760914 1424 exon
99760913 1425 exon
99760912 1426 exon
99760911 1427 exon
99760910 1428 exon
99760909 1429 exon
99760908 1430 exon
99760907 1431 exon
99760906 1432 exon
99760905 1433 exon
99760904 1434 exon
99760903 1435 exon
99760902 1436 exon
99760901 1437 exon
99760900 1438 exon
99760899 1439 exon
99760898 1440 exon
99760897 1441 exon
99760896 1442 exon
99760895 1443 exon
99760894 1444 exon
99760893 1445 exon
99760892 1446 exon
99760891 1447 exon
99760890 1448 exon
99760889 1449 exon
99760888 1450 exon
99760887 1451 exon
99760886 1452 exon
99760885 1453 exon
99760884 1454 exon
99760883 1455 exon
99760882 1456 exon
99760881 1457 exon
99760880 1458 exon
99760879 1459 exon
99760878 1460 exon
99760877 1461 exon
99760876 1462 exon
99760875 1463 exon
99760874 1464 exon
99760873 1465 exon
99760872 1466 exon
